feature,mi_score
time_progress,3.5718533457214443
h_std,1.6322450588915185
h_spectral_centroid,1.5205420893315016
h_band_energy_0,1.4233297795350937
h_spectral_entropy,1.3942125559732
h_kurtosis,1.3448654171588723
v_std,1.3294702178371232
cross_rms_ratio,1.3188207578686253
h_band_energy_1,1.2809555004315136
v_shape_factor,1.2557206597274506
h_shape_factor,1.2389216002945749
v_band_energy_0,1.1886507242201754
v_band_energy_1,1.1548156718395677
h_crest_factor,1.1385417394750674
h_band_energy_2,1.1213875562602857
h_stft_band2_std,1.0886634967194544
v_band_energy_2,1.0349300235182626
cross_corr,0.9918583391297688
v_spectral_spread,0.9209204212230886
v_kurtosis,0.9041615365589699
h_stft_band1_mean,0.8808620097930722
v_crest_factor,0.841806982845756
v_spectral_centroid,0.8302424923090395
v_stft_band2_max,0.7010132736967298
h_stft_band0_tratio,0.6941050354847476
